name,location,price,price_for,room_type,beds,rating,rating_title
Centro Shaheen Jeddah by Rotana,Jeddah,307,"1 night, 1 adult",Queen Room,1 large double bed,7.9,Good
VERTA Hotel,Jeddah,405,"1 night, 1 adult",Executive Suite,1 extra-large double bed,7.9,Good
Ramada by Wyndham Continental Jeddah,Jeddah,350,"1 night, 1 adult",1 King Bed Superior Room,1 large double bed,7.9,Good
Marina Hotel,Jeddah,500,"1 night, 1 adult",Two-Bedroom Apartment,"3 beds
(2 singles, 1 large double)",8.3,Very good
Signature Hotel,Jeddah,282,"1 night, 1 adult",King Room,1 extra-large double bed,8.8,Fabulous
Shada Hotel Salama,Jeddah,401,"1 night, 1 adult",Standard Queen Room,1 large double bed,8.9,Fabulous
M?venpick Hotel Jeddah,Jeddah,333,"1 night, 1 adult",Classic King Room,1 extra-large double bed,7.8,Good
The Ritz-Carlton Jeddah,Jeddah,1575,"1 night, 1 adult","Deluxe Room, 2 Twin/Single Bed(s), City View",2 single beds,9,Superb
Staytion First - Al Zahra,Jeddah,200,"1 night, 1 adult",Studio Apartment,1 large double bed,8.8,Fabulous
شاطئ الحياة للأجنحة الفندقية,Jeddah,242,"1 night, 1 adult",Studio,1 extra-large double bed,8.1,Very good
WA Hotel,Jeddah,1320,"1 night, 1 adult",Deluxe Family Room,2 extra-large double beds,9.5,Exceptional
WA Hotel,Jeddah,1320,"1 night, 1 adult",Deluxe Family Room,2 extra-large double beds,9.5,Exceptional
Loalat Al Rowdah Family,Jeddah,320,"1 night, 1 adult",Two-Bedroom Apartment,"4 beds
(2 singles, 1 sofa bed, 1 large double)",7.8,Good
Rotana Residence Apartments,Jeddah,252,"1 night, 1 adult",One-Bedroom Apartment,"2 beds
(1 extra-large double, 1 sofa bed)",7.6,Good
Kyona Gold-Obhur,Jeddah,522,"1 night, 1 adult",One-Bedroom Apartment,1 double bed,8.7,Fabulous
Habitat Hotel All Suites - Jeddah,Jeddah,475,"1 night, 1 adult",Junior Suite with Twin Bed,"3 beds
(2 singles, 1 sofa bed)",8,Very good
Al Rawda Jewel Apartment Hotel,Jeddah,245,"1 night, 1 adult",Deluxe Apartment,1 double bed,8,Very good
Dior Inn Hotel,Jeddah,360,"1 night, 1 adult",Superior King Room,1 extra-large double bed,9,Superb
Kyona Gold-Obhur,Jeddah,522,"1 night, 1 adult",One-Bedroom Apartment,1 double bed,8.7,Fabulous
Habitat Hotel All Suites - Jeddah,Jeddah,500,"1 night, 1 adult",Junior Suite with Twin Bed,"3 beds
(2 singles, 1 sofa bed)",8,Very good
Al Rawda Jewel Apartment Hotel,Jeddah,245,"1 night, 1 adult",Deluxe Apartment,1 double bed,8,Very good
Dior Inn Hotel,Jeddah,360,"1 night, 1 adult",Superior King Room,1 extra-large double bed,9,Superb
Andalus Habitat Hotel,Jeddah,596,"1 night, 1 adult",Studio with Sofa Bed,1 extra-large double bed,8.6,Fabulous
Sadeem Hotel Suites2,Jeddah,449,"1 night, 1 adult",Two-Bedroom Suite,"3 beds
(2 singles, 1 extra-large double)",8.3,Very good
Iwan Alandalusia Al Ajaweed,Jeddah,230,"1 night, 1 adult",Deluxe Double or Twin Room,2 single beds,7.8,Good
Delmon Hotel Suites,Jeddah,225,"1 night, 1 adult",One-Bedroom Apartment,"3 beds
(1 double, 2 sofa beds)",6.7,Review score
Elaf Jeddah Hotel - Red Sea Mall,Jeddah,600,"1 night, 1 adult",Deluxe King Room,1 extra-large double bed,7.3,Good
Quiet Dreams - Quraysh Branch,Jeddah,200,"1 night, 1 adult",One-Bedroom Apartment,1 large double bed,8.2,Very good
Donatello Jeddah Hotel,Jeddah,440,"1 night, 1 adult",Junior Suite,1 large double bed,8.4,Very good
Zwarah Hotel Suites,Jeddah,221,"1 night, 1 adult",Studio (2 Adults),1 large double bed,7.2,Good
Hayat Al Rose Hotel Appartment,Jeddah,203,"1 night, 1 adult",Superior Double Room,1 extra-large double bed,8.3,Very good
Orian Hotel,Jeddah,190,"1 night, 1 adult",Studio Apartment,1 double bed,7.8,Good
The Venue Jeddah Corniche,Jeddah,739,"1 night, 1 adult",Deluxe King Room with City View City Tower,1 large double bed,7.6,Good
سمر الماسيه للاجنحه الفندقيه الفاخره - حي الصفا بجدة,Jeddah,190,"1 night, 1 adult",Family Studio,1 double bed,7.7,Good
Mrakez Alarab Furnished Apartments 3,Jeddah,250,"1 night, 1 adult",Two-Bedroom Apartment,"3 beds
(2 singles, 1 large double)",7.9,Good
Adagio Aparthotel Jeddah Malik Road,Jeddah,570,"1 night, 1 adult",One-Bedroom Apartment,1 extra-large double bed,8.2,Very good
